05:::Registro fraude patrón 5:::Clave=FRAU005@15/05/2024:::Saldo negativo=-100
05:::Registro fraude patrón 5:::Clave=USER163@15/05/2024:::Saldo negativo=-202
05:::Registro fraude patrón 5:::Clave=USER100@15/05/2024:::Saldo negativo=-471
05:::Registro fraude patrón 5:::Clave=USER133@15/05/2024:::Saldo negativo=-134
05:::Registro fraude patrón 5:::Clave=USER146@15/05/2024:::Saldo negativo=-618
05:::Registro fraude patrón 5:::Clave=USER159@15/05/2024:::Saldo negativo=-451
05:::Registro fraude patrón 5:::Clave=USER169@15/05/2024:::Saldo negativo=-180
05:::Registro fraude patrón 5:::Clave=USER179@15/05/2024:::Saldo negativo=-421
05:::Registro fraude patrón 5:::Clave=USER156@15/05/2024:::Saldo negativo=-321
05:::Registro fraude patrón 5:::Clave=USER136@15/05/2024:::Saldo negativo=-876
05:::Registro fraude patrón 5:::Clave=USER166@15/05/2024:::Saldo negativo=-480
05:::Registro fraude patrón 5:::Clave=USER182@15/05/2024:::Saldo negativo=-399
05:::Registro fraude patrón 5:::Clave=USER113@15/05/2024:::Saldo negativo=-388
05:::Registro fraude patrón 5:::Clave=USER149@15/05/2024:::Saldo negativo=-214
05:::Registro fraude patrón 5:::Clave=USER142@15/05/2024:::Saldo negativo=-190
05:::Registro fraude patrón 5:::Clave=USER165@15/05/2024:::Saldo negativo=-185
05:::Registro fraude patrón 5:::Clave=USER162@15/05/2024:::Saldo negativo=-88
05:::Registro fraude patrón 5:::Clave=USER198@15/05/2024:::Saldo negativo=-205
05:::Registro fraude patrón 5:::Clave=USER109@15/05/2024:::Saldo negativo=-262
05:::Registro fraude patrón 5:::Clave=USER106@15/05/2024:::Saldo negativo=-162
05:::Registro fraude patrón 5:::Clave=USER119@15/05/2024:::Saldo negativo=-313
05:::Registro fraude patrón 5:::Clave=USER122@15/05/2024:::Saldo negativo=-4
05:::Registro fraude patrón 5:::Clave=USER145@15/05/2024:::Saldo negativo=-503
05:::Registro fraude patrón 5:::Clave=USER168@15/05/2024:::Saldo negativo=-215
05:::Registro fraude patrón 5:::Clave=USER129@15/05/2024:::Saldo negativo=-280
05:::Registro fraude patrón 5:::Clave=USER171@15/05/2024:::Saldo negativo=-377
05:::Registro fraude patrón 5:::Clave=USER181@15/05/2024:::Saldo negativo=-243
05:::Registro fraude patrón 5:::Clave=USER194@15/05/2024:::Saldo negativo=-283
05:::Registro fraude patrón 5:::Clave=USER112@15/05/2024:::Saldo negativo=-34
05:::Registro fraude patrón 5:::Clave=USER187@15/05/2024:::Saldo negativo=-290
05:::Registro fraude patrón 5:::Clave=FRAU003@15/05/2024:::Saldo negativo=-5
05:::Registro fraude patrón 5:::Clave=USER121@15/05/2024:::Saldo negativo=-409
05:::Registro fraude patrón 5:::Clave=USER141@15/05/2024:::Saldo negativo=-80
05:::Registro fraude patrón 5:::Clave=USER144@15/05/2024:::Saldo negativo=-777
05:::Registro fraude patrón 5:::Clave=USER177@15/05/2024:::Saldo negativo=-112
05:::Registro fraude patrón 5:::Clave=USER108@15/05/2024:::Saldo negativo=-668
05:::Registro fraude patrón 5:::Clave=USER170@15/05/2024:::Saldo negativo=-258
05:::Registro fraude patrón 5:::Clave=USER147@15/05/2024:::Saldo negativo=-67
05:::Registro fraude patrón 5:::Clave=USER157@15/05/2024:::Saldo negativo=-491
05:::Registro fraude patrón 5:::Clave=USER134@15/05/2024:::Saldo negativo=-511
05:::Registro fraude patrón 5:::Clave=USER150@15/05/2024:::Saldo negativo=-276
05:::Registro fraude patrón 5:::Clave=USER160@15/05/2024:::Saldo negativo=-531
05:::Registro fraude patrón 5:::Clave=USER173@15/05/2024:::Saldo negativo=-82
05:::Registro fraude patrón 5:::Clave=USER196@15/05/2024:::Saldo negativo=-966
05:::Registro fraude patrón 5:::Clave=FRAU002@15/05/2024:::Saldo negativo=-400
05:::Registro fraude patrón 5:::Clave=USER117@15/05/2024:::Saldo negativo=-656
05:::Registro fraude patrón 5:::Clave=USER140@15/05/2024:::Saldo negativo=-401
05:::Registro fraude patrón 5:::Clave=USER176@15/05/2024:::Saldo negativo=-416
05:::Registro fraude patrón 5:::Clave=USER199@15/05/2024:::Saldo negativo=-273
